ITMS_CD_NBR,STCK_KOR_NM,DMD_FRCS_START_DT,DMD_FRCS_END_DT,SBSC_START_DT,SBSC_CLSG_DT,PYM_DT,DRBC_DT,STCK_LSTN_DT,LWEN_SCDL_PBOF_AMT,TPPO_SCDL_PBOF_AMT,CNFM_PBOF_AMT,PBOF_STCK_CNT,SBSC_RVLR_RT,RPRS_SPIC_COM_NM,JOINT_SPIC_COM_NM,RBPE_COM_NM,FSS_RCIP_NBR,STCK_FACE_AMT,AISS_GNRL_STCK_CNT,AISS_PRTY_STCK_CNT,NMN_RRT_PROXY_INST_NM,DMD_FRCS_RVLR_RT,OBLG_DFPN_APLCT_RATE
200710,에이디테크놀로지,,,20141204,20141205,20141209,20141209,20141216,"16,000",0,"15,000","1,000,000",0,한국투자,,,,500,"2,979,695",0,,0,0
218710,키움제3호기업인수목적,20150622,20150623,20150625,20150626,20150630,20150630,20150706,"2,000",0,"2,000","6,500,000",0,키움,,,,100,0,0,,0,0
221950,현대드림투게더제3호기업인수목적,20150805,20150805,20150812,20150813,20150817,20150817,20150821,"2,000",0,"2,000","6,500,000",0,KB증권,,,,100,"315,000",0,,0,0
217190,제너셈,20150909,20150910,20150915,20150916,20150918,20150918,20150925,"9,000","10,500","10,500","1,300,000",0,하나금융투자,,,,0,0,0,,0,0
288980,모아데이타,20220221,20220222,20220225,20220228,20220303,20220303,20220310,"24,000","28,000","20,000","800,000",27,하나금융투자,,,20220224002200,500,"4,561,072",0,한국예탁결제원,114,1
115180,큐리언트,20160215,20160216,20160218,20160219,20160223,20160223,20160229,"18,000",0,"21,000","1,408,000",0,한국투자,,,,500,"5,632,822",0,,0,0
225330,씨엠에스에듀,20160324,20160325,20160329,20160330,20160401,20160401,20160407,"19,000",0,"23,200","1,240,000",0,삼성,유안타,,,500,0,0,,0,0
142760,바이오리더스,20160622,20160623,20160627,20160628,20160630,20160630,20160707,"11,000","15,000","15,000","1,200,000",0,키움,,,,500,0,0,,0,0
230360,에코마케팅,20160718,20160719,20160726,20160727,20160801,20160801,20160808,"27,000",0,"35,000","1,100,000",0,한국투자,,,,100,"7,000,000",0,,0,0
217500,하이제3호기업인수목적,,,20150604,20150605,20150609,20150609,20150610,"2,000",0,"2,000","4,250,000",0,HI증권,,,,100,0,0,,0,0
210980,에스케이디앤디,,,20150610,20150611,20150615,20150615,20150623,"20,200",0,"26,000","2,950,000",0,대신,,,,"1,000","8,270,000","300,000",,0,0
166480,코아스템,,,20150617,20150618,20150622,20150622,20150626,"10,800",0,"16,000","2,500,000",0,한국투자,,,,500,0,0,,0,0
214180,민앤지,,,20150622,20150623,20150625,20150625,20150630,"21,200",0,"28,000","1,411,800",0,신한,,,,500,"4,800,000",0,,0,0
207720,우리SL기업인수목적,20141201,20141202,20141208,20141209,20141211,20141211,20141217,"2,000","2,000","2,000","2,000,000",0,NH투자,,,,100,"505,000",0,,0,0
